LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,101.1091,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,101.396,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,101.6392,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,101.6375,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,101.1805,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,100.115,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.95609,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.42225,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.36909,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.38756,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.603,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.93655,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,99.09532,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.0493,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.05256,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,99.05906,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.20814,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.59937,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.86053,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,99.79817,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,99.57372,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,99.07135,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,98.45681,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,98.12675,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,97.92135,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,97.77589,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,97.78466,
